City,Restaurant
London,Devine Restaurant Coffee Bar
London,Nora Cafe
London,Hibox
London,The Golden Chippy
London,Govinda's Vegan & Vegetarian Restaurant
London,Tania's of Hampstead
London,Double J's Cafe
London,Hiba Street
London,The Lounge Cafe
London,Cafe Parisienne
London,Fishcotheque
London,Lord Clyde Southwark
London,Magic Falafel
London,Oi Vita Pizzeria
London,Sanjugo Shoreditch
London,Cafe Van Gogh
London,Mio Restaurant
London,Wassouf Lounge
London,E Pellicci
London,The English Rose Cafe
London,Hungry Turtle
London,Mallow Borough Market
London,Wolkite restaurant
London,KataKata
London,Cappadocia Cafe & Bistro
London,Volare
London,EaTurkish
London,L'oro di Napoli
London,B Bagel Bakery Bar
London,Dulce Cafe
London,Cafe Maya
London,Cafe de Provence
London,Fishers Restaurant & Takeaway
London,Beck's cafe
London,Little Wonder Cafe
London,Sapori Cafe' and Restaurant
London,Bravi Ragazzi Pizza
London,Pizzetta Pizza
London,Pizza Sophia
London,New London Cafe
London,Baileys Fish and Chips
London,Crust Bros
London,The Pride of Spitalfields
London,Salt & Pepper
London,Sheila's Cafe
London,Paramount Lebanese Kitchen
London,Cafe 338
London,Liz Cafe
London,Terry's Cafe London
London,La Piccola Deli Pasticceria
London,Zaibatsu
London,Honest Burgers - Camden
London,Peter's Cafe
London,Riverside Cafe Lambeth Pier
London,Meraz
London,Kennedys OF Goswell Road
London,The Skinners Arms
London,Whiskey Ginger
London,Companero
London,Emilia's Crafted Pasta (St. Katharine Docks)
London,Falafel Feast
London,Thai West Cafe
London,Hobson's Fish & Chips
London,Vegan Yes
London,Pizza Pilgrims
London,The Laughing Halibut
London,Double Six
London,La Tazza Cafe
London,Sen Viet
London,Speedy's Sandwich Bar & Cafe
London,Soho Joe
London,Pizza Pilgrims
London,Mimos Cafe Bar
London,Mother Mash
London,Ben's Fish & Chips Restaurant
London,Pitted Olive
London,Crudough: Sourdough Pizza
London,Sandwich Street Kitchen
London,Masons Arms
London,Rosetta
London,Ye Olde Mitre
London,O Tino
London,Polo 24 Hour Bar
London,La Petite Bretagne
London,Masters Superfish
London,Pizza Pilgrims
London,Koshari Street
London,Fez Mangal Ladbroke Grove
London,Franco Manca Earls Court
London,Heap's Sausages
London,Premises Cafe
London,Brioche Coffee & Brunch
London,Pizza Pilgrims
London,Fig Tree Cafe
London,Franx Continental Cafe
London,McGlynn's Free House
London,Zero 75
